Fecha,Ticker,Accion,Titulos,Precio_Ejecucion
2025-05-06,VOO,Buy,0.1709399,515.2688
2025-06-20,ITA,Buy,0.20217441,180.3888
2025-06-20,NLR,Buy,0.3350827,108.8388
2025-06-20,NVDA,Buy,0.18108033,143.8588
2025-06-20,IXN,Buy,0.23918612,87.1288
2025-06-20,VST,Buy,0.11372516,183.2488
2025-06-20,MU,Buy,0.25553899,122.3688
2025-07-07,NVDA,Buy,0.11831788,158.0488
2025-07-07,MU,Buy,0.11103828,120.2288
2025-07-07,PLTR,Buy,0.07764517,137.5488
2025-07-07,VOO,Buy,0.02819138,568.2588
2025-07-07,IXN,Buy,0.108089,92.2388
2025-07-07,VOO,Buy,0.03878567,568.5088
2025-07-15,NVDA,Buy,0.4708342,169.6988
2025-07-15,AMZN,Buy,0.28164942,226.9488
2025-07-15,PLTR,Buy,0.28490466,149.5588
2025-07-28,SCHD,Buy,2.0,27.2888
2025-07-28,SCHD,Buy,0.37569992,27.2888
2025-07-28,JEPI,Buy,0.78420545,57.2299
2025-07-28,VYM,Buy,0.32946994,136.2188
2025-07-28,VNQ,Buy,0.44911856,91.045
2025-07-28,BMO,Buy,0.37082415,113.45
2025-09-03,ITA,Buy,0.05411737,197.3488
2025-09-03,NVDA,Buy,0.0623909,171.1788
2025-09-03,JEPI,Buy,0.18899711,56.5088
2025-09-05,NVDA,Buy,0.06383279,166.9988
2025-09-05,AMZN,Buy,0.02290514,232.6988
2025-09-05,IXN,Buy,0.055748,95.6088
2025-09-05,VNQ,Buy,0.17318116,92.3888
2025-09-11,NVDA,Buy,0.0909661,177.3188
2025-09-11,JEPI,Buy,0.28204823,57.1888
2025-12-01,NVDA,Buy,0.10721767,178.3288
2025-12-01,AMZN,Buy,0.0350466,233.6888
2025-12-01,IXN,Buy,0.05243506,104.1288
2025-12-01,ITA,Buy,0.02709962,201.4788
2025-12-01,NLR,Buy,0.03401233,128.1888
2025-12-01,VNQ,Buy,0.04228994,90.3288
2025-12-01,JEPI,Buy,0.14290998,57.3088
